2024-04-17 20:27:10,606 dycore_driver.py     (314 ) : initialize          :  INFO     initialize parallel runtime
2024-04-17 20:27:10,606 dycore_driver.py     (315 ) : initialize          :  INFO     reading configuration: experiment jabw
2024-04-17 20:27:10,610 serialbox_utils.py   (1355) : print_info          :  INFO     SAVEPOINTS: [<Savepoint icon-jabw-const {"n_dom": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-jabw-init {"nproma": 50000, "nlev": 35, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-jabw-intermediate {"nproma": 50000, "nlev": 35, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-jabw-final {"nproma": 50000, "nlev": 35, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint first_output_var {"nproma": 50000, "nlev": 35, "limited_area": false, "n_dom": 1, "iforcing": 0, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-grid {"nsteps": 2, "nproma": 50000, "nlev": 35, "limited_area": false, "n_dom": 1, "iforcing": 0, "id": 1, "dtime": 300.000000, "date": 2008-09-01T00:10:00.000}>, <Savepoint interpolation_state {"id": 1}>, <Savepoint metric_state {"id": 1}>]
2024-04-17 20:27:10,610 serialbox_utils.py   (1356) : print_info          :  INFO     FIELDNAMES: ['zeta_v_init', 'zd_vertoffset', 'z_ifc', 'wgtfacq_e', 'wgtfacq_c_dsl', 'w_init', 'vwind_expl_wgt', 'vn_init', 'vn_final', 'vertoffset_gradp_dsl', 'vct_b', 'vcoef', 'v_start_index', 'v_refin_ctl', 'v_num_edges', 'v_lat', 'v_glb_index', 'v_edge_orientation', 'v2c2v', 'wgtfac_e', 'v2c', 'theta_ref_mc', 'theta_ref_ic', 'temperature_intermediate', 'temperature_init', 'temperature_final', 'theta_v_intermediate', 'tangent_orientation', 'scalfac_dd3d', 'rho_init', 'rho_final', 'rbf_vec_idx_v', 'rbf_vec_coeff_v1', 'w_final', 'rbf_vec_coeff_e', 'rbf_vec_coeff_c1', 'primal_normal_vert_x', 'theta_ref_me', 'exner_ref_mc', 'edge_cell_length', 'exner_intermediate', 'ddqz_z_full_e', 'etat', 'edges_center_lon', 'eta0', 'zeta_v_e_final', 'v_lon', 'dtemp', 'edge_areas', 'e2c2v', 'e_glb_index', 'lonC', 'e_flx_avg', 'e2v', 'e_decomp_domain', 'dual_normal_cell_y', 'ddxt_z_full', 'gamma', 'dual_normal_cell_x', 'e_owner_mask', 'c_glb_index', 'coeff1_dwdz', 'zd_diffcoef', 'dual_normal_vert_x', 'dual_normal_vert_y', 'cell_center_lat', 'c_decomp_domain', 'vct_a', 'jw_u0', 'n_patch_cells_g', 'output_diag_temperature_ifc', 'zdiff_gradp_dsl', 'n_patch_verts', 'primal_edge_length', 'rbf_vec_blk_v', 'coeff2_dwdz', 'pressure_final', 'c_intp', 'c2e2c2e', 'ddqz_z_full', 'rho_ref_me', 'output_diag_pressure', 'vwind_impl_wgt', 'c2e', 'inv_primal_edge_length', 'e_refin_ctl', 'boundary_depth_index', 'e_bln_c_s', 'cell_center_lon', 'exner_init', 'zeta_v_e_init', 'output_diag_ddt_vn_phy', 'ddqz_z_half', 'pressure_intermediate', 'e2c2e', 'v_dual_area', 'inv_ddqz_z_full', 'cells_edge_orientation', 'n_patch_cells', 'rbf_vec_coeff_c2', 'dual_edge_length', 'c_start_index', 'e_start_index', 'theta_v_final', 'primal_normal_v2', 'c2e2c', 'rho_ref_mc', 'rbf_vec_coeff_v2', 'exner_final', 'cell_areas', 'coeff_gradekin', 'd2dexdz2_fac1_mc', 'c_lin_e', 'd2dexdz2_fac2_mc', 'e_end_index', 'c_owner_mask', 'num_cells', 'output_diag_pressure_ifc', 'd_exner_dz_ref_ic', 'bdy_halo_c', 'output_diag_ddt_vn_apc_pc', 'ddxn_z_full', 'jw_temp0', 'geofac_grdiv', 'inv_vert_vert_length', 'edges_center_lat', 'n_patch_edges_g', 'v_owner_mask', 'geofac_grg', 'geofac_n2s', 'f_e', 'geofac_rot', 'zeta_v_final', 'c_end_index', 'output_diag_virtual_temperature', 'rho_intermediate', 'geopot', 'p_sfc_jabw', 'hmask_dd3d', 'v2e', 'output_diag_ddt_w_adv_ntl', 'inv_dual_edge_length', 'output_diag_u', 'theta_v_init', 'ipeidx_dsl', 'jw_up', 'latC', 'e2c', 'output_diag_ddt_exner_phy', 'pg_edgeidx_dsl', 'mask_hdiff', 'mean_cell_area', 'n_patch_edges', 'exner_exfac', 'primal_normal_vert_y', 'n_patch_verts_g', 'nflat_gradp', 'wgtfac_c', 'nflatlev', 'nrdmax', 'wgtfacq_c', 'nshift', 'nudgecoeff_e', 'geofac_div', 'num_edges', 'mask_prog_halo_c', 'num_vert', 'output_diag_exner_pr', 'output_diag_pressure_sfc', 'output_diag_temperature', 'v_decomp_domain', 'primal_normal_v1', 'output_diag_v', 'pg_exdist_dsl', 'c2v', 'pos_on_tplane_e_x', 'pos_on_tplane_e_y', 'c_refin_ctl', 'pressure_init', 'nshift_total', 'pressure_surface', 'v_end_index', 'primal_normal_cell_x', 'nlev', 'primal_normal_cell_y', 'rayleigh_w']
2024-04-17 20:27:10,611 dycore_driver.py     (320 ) : initialize          :  INFO     initializing the grid from '../testdata/jw_rank1_nproma50000'
2024-04-17 20:27:10,615 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e2c : (20480, 3)
2024-04-17 20:27:10,616 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2c2e : (30720, 4)
2024-04-17 20:27:10,619 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e : (20480, 3)
2024-04-17 20:27:10,620 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2v : (20480, 3)
2024-04-17 20:27:10,620 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2c : (30720, 2)
2024-04-17 20:27:10,623 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e2c2e : (20480, 9)
2024-04-17 20:27:10,626 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e2c2e : (20480, 9)
2024-04-17 20:27:10,628 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2v : (30720, 4)
2024-04-17 20:27:10,628 serialbox_utils.py   (304 ) : e2v                 :  DEBUG    real e2v (30720, 2)
2024-04-17 20:27:10,629 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2e : (10242, 6)
2024-04-17 20:27:10,630 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2c : (10242, 6)
2024-04-17 20:27:10,632 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2c2v : (10242, 6)
2024-04-17 20:27:10,633 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2c2v : (10242, 6)
2024-04-17 20:27:10,634 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2v : (30720, 4)
2024-04-17 20:27:10,634 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2v : (20480, 3)
2024-04-17 20:27:10,635 dycore_driver.py     (322 ) : initialize          :  INFO     reading input fields from '../testdata/jw_rank1_nproma50000'
2024-04-17 20:27:10,640 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    primal_normal_vert_x (30720, 4)
2024-04-17 20:27:10,642 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    primal_normal_vert_y (30720, 4)
2024-04-17 20:27:10,643 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    dual_normal_vert_x (30720, 4)
2024-04-17 20:27:10,645 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    dual_normal_vert_y (30720, 4)
2024-04-17 20:27:10,646 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    primal_normal_cell_x (30720, 2)
2024-04-17 20:27:10,647 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    primal_normal_cell_y (30720, 2)
2024-04-17 20:27:10,647 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    dual_normal_cell_x (30720, 2)
2024-04-17 20:27:10,648 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    dual_normal_cell_y (30720, 2)
2024-04-17 20:27:10,649 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    tangent_orientation (30720,)
2024-04-17 20:27:10,649 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    inv_primal_edge_length (30720,)
2024-04-17 20:27:10,650 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    inv_dual_edge_length (30720,)
2024-04-17 20:27:10,650 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    inv_vert_vert_length (30720,)
2024-04-17 20:27:10,651 serialbox_utils.py   (93  ) : _get_reciprocal_field:  DEBUG    inv_primal_edge_length (30720,)
2024-04-17 20:27:10,651 serialbox_utils.py   (93  ) : _get_reciprocal_field:  DEBUG    inv_dual_edge_length (30720,)
2024-04-17 20:27:10,652 serialbox_utils.py   (93  ) : _get_reciprocal_field:  DEBUG    inv_vert_vert_length (30720,)
2024-04-17 20:27:10,652 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    edge_areas (30720,)
2024-04-17 20:27:10,652 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    f_e (30720,)
2024-04-17 20:27:10,653 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    edges_center_lat (30720,)
2024-04-17 20:27:10,653 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    edges_center_lon (30720,)
2024-04-17 20:27:10,654 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    primal_normal_v1 (30720,)
2024-04-17 20:27:10,654 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    primal_normal_v2 (30720,)
2024-04-17 20:27:10,654 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    cell_areas (20480,)
2024-04-17 20:27:10,655 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    cell_center_lat (20480,)
2024-04-17 20:27:10,655 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    cell_center_lon (20480,)
2024-04-17 20:27:10,656 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    vct_a (36,)
2024-04-17 20:27:10,656 vertical.py          (64  ) : __post_init__       :  INFO     computation of moist physics start on layer: 1
2024-04-17 20:27:10,656 vertical.py          (65  ) : __post_init__       :  INFO     end index of Rayleigh damping layer for w: 0 
